Name;Link;File
Reference page;https://www.mrgreekgeek.com/2021/06/03/the-best-free-polytonic-greek-fonts/;
Gentium-Alt;https://software.sil.org/downloads/r/gentium/Gentium-1.03.zip;Gentium-1.03.zip
Cm unicode;https://unlimited.dl.sourceforge.net/project/cm-unicode/cm-unicode/0.7.0/cm-unicode-0.7.0-ttf.tar.xz?viasf=1;cm-unicode-0.7.0-ttf.tar.xz
Artemisia;https://www.greekfontsociety-gfs.gr/typefaces/20th_21st_century#GFS_Artemisia;GFS_Artemisia.zip
GFS Theokritos;https://www.greekfontsociety-gfs.gr/typefaces/20th_21st_century#GFS_Theokritos;GFS_Theokritos.zip
GFS Bodoni;https://greekfontsociety-gfs.gr/typefaces/20th_21st_century#GFS_Bodoni;GFS_Bodoni.zip
GFS Elpis;https://greekfontsociety-gfs.gr/typefaces/20th_21st_century#GFS_Elpis;GFS_Elpis.zip
GFS Orpheus Classic;https://www.greekfontsociety-gfs.gr/typefaces/19th_century#GFS_Orpheus_Classic_sample_text;GFS_Orpheus_Classic.zip
GFS Göschen;https://www.greekfontsociety-gfs.gr/typefaces/19th_century#GFS_Goschen_sample_text;GFS_Goschen.zip
GFS Didot;https://www.greekfontsociety-gfs.gr/typefaces/20th_21st_century#GFS_Didot;GFS_Didot.zip
GFS NeoHellenic;https://www.greekfontsociety-gfs.gr/typefaces/20th_21st_century#GFS_NeoHellenic;GFS_NeoHellenic.zip
GFS Porson;https://www.greekfontsociety-gfs.gr/typefaces/19th_century#GFS_Porson;GFS_Porson.zip
Linux Libertine;https://www.fontsquirrel.com/fonts/linux-libertine;linux-libertine.zip
Linux Biolinum;https://www.fontsquirrel.com/fonts/linux-biolinum;linux-biolinum.zip
literata;https://github.com/googlefonts/literata/;literata
NAUS;https://ucbclassics.dreamhosters.com/djm/greekkeys/NAUdownload.html;NAU5_008.zip
Noto Serif;https://fonts.google.com/noto/specimen/Noto+Serif;Noto_Serif.zip
Noto Sans;https://fonts.google.com/noto/specimen/Noto+Sans;Noto_Sans.zip
Old Standard TT;https://www.fontsquirrel.com/fonts/old-standard-tt;Old-Standard-TT.zip
Pecita;https://www.fontsquirrel.com/fonts/pecita;pecita.zip
piazzolla;https://huertatipografica.com/en/fonts/piazzolla;Piazolla.zip and PiazzollaSC.zip
Quivira;http://quivira-font.com/downloads.php;Quivira.otf
source-sans;https://github.com/adobe-fonts/source-sans;source-sans
source-serif;https://github.com/adobe-fonts/source-serif;source-serif
Theano Didot;https://www.fontsquirrel.com/fonts/theano-didot;Theano-Didot.zip
Tinos;https://www.fontsquirrel.com/fonts/tinos;tinos.zip
walleye;https://github.com/chuckmasterson/walleye;walleye
gsoc2018-arimamadurai;https://github.com/eellak/gsoc2018-arimamadurai;gsoc2018-arimamadurai
gsoc2018-cantarell;https://github.com/eellak/gsoc2018-cantarell/tree/master/01_GSoC%20FINAL/04_Fonts;gsoc2018-cantarell
Computer Modern Unicode fonts;https://sourceforge.net/projects/cm-unicode/;cm-unicode-0.7.0-ttf.tar.xz
Crimson;https://www.fontsquirrel.com/fonts/crimson;crimson.zip
EB Garamond;https://fonts.google.com/specimen/EB+Garamond;EB_Garamond.zip
gsoc17-Eczar;https://github.com/eellak/gsoc17-Eczar;gsoc17-Eczar
Fira Sans;https://www.fontsquirrel.com/fonts/fira-sans;fira-sans.zip
Galatia SIL;https://software.sil.org/fr/galatia/#downloads;GalatiaSIL-2.1-web.zip
Gentium;software.sil.org/gentium/download/;Gentium-7.000.zip
